canonical_family,criterion_id,coder_id,rating,evidence_url,evidence_locator,evidence_note
Ohsumed,claim_population,primary,partial,https://arxiv.org/abs/1809.05679,Datasets and Table 2,The derived task identifies a 1991 cardiovascular-abstract subset but does not define a target population for the accuracy score.
Ohsumed,claim_construct,primary,yes,https://arxiv.org/abs/1809.05679,Datasets and Table 2,The task predicts one of 23 cardiovascular disease categories assigned through MEDLINE indexing.
Ohsumed,claim_use,primary,partial,https://arxiv.org/abs/1809.05679,Datasets and Table 2,The reviewed sources do not state an intended interpretation or decision for the score.
Ohsumed,claim_metric,primary,not_found,https://arxiv.org/abs/1809.05679,Datasets and Table 2,"The reviewed sources report a metric without linking it to the intended use, class distribution, or error costs."
Ohsumed,coverage_frame,primary,partial,https://arxiv.org/abs/1809.05679,Datasets and Table 2,"The source year, first 20,000 abstracts, exclusions, and fixed split are stated; the inherited split rule is not explained."
Ohsumed,coverage_blueprint,primary,not_found,https://arxiv.org/abs/1809.05679,Datasets and Table 2,The reviewed sources do not define content coverage with named facets and a denominator.
Ohsumed,labels_process,primary,partial,https://dmice.ohsu.edu/hersh/ohsumed/,"Collection README, MEDLINE fields","The source documentation identifies human-assigned MeSH terms, but the derived single-label mapping is only briefly described."
Ohsumed,labels_reliability,primary,not_found,https://arxiv.org/abs/1809.05679,Datasets and Table 2,The reviewed sources do not report label repeatability or inter-rater agreement.
Ohsumed,labels_validity,primary,partial,https://arxiv.org/abs/1809.05679,Datasets and Table 2,"Professional MeSH indexing is relevant evidence, but validity of the 23-way single-label reduction is not tested."
Ohsumed,designed_cases,primary,not_found,https://arxiv.org/abs/1809.05679,Datasets and Table 2,The reviewed sources do not identify designed or stratified cases tied to named requirements.
Ohsumed,designed_pairs,primary,not_found,https://arxiv.org/abs/1809.05679,Datasets and Table 2,The reviewed sources do not include controlled input pairs with a prespecified expected response.
Ohsumed,dependability,primary,partial,https://arxiv.org/abs/1809.05679,Datasets and Table 2,"The benchmark use reports means and standard deviations over ten model runs, but not item-sampling uncertainty."
Ohsumed,governance,primary,yes,https://dmice.ohsu.edu/hersh/ohsumed/,Collection README and use conditions,The official collection page states NLM experimental-use conditions and warns that the records are incomplete and outdated.
Ohsumed,duplicates,primary,partial,https://arxiv.org/abs/1809.05679,Datasets and Table 2,The paper calls the source abstracts unique but does not assess related articles or entity overlap across splits.
LoT-insts,claim_population,primary,partial,https://arxiv.org/abs/2302.09509,Sections 3--4 and Appendix B,"Microsoft Academic Graph supplies a broad real-world source, but cleaning and filtering alter the distribution without defining a target population."
LoT-insts,claim_construct,primary,yes,https://arxiv.org/abs/2302.09509,Sections 3--4 and Appendix B,"The paper defines closed-set normalization, open-set classification, and open-set verification."
LoT-insts,claim_use,primary,yes,https://arxiv.org/abs/2302.09509,Sections 3--4 and Appendix B,"The benchmark is intended to test long-tailed institution-name normalization, including few-shot and unseen institutions."
LoT-insts,claim_metric,primary,partial,https://arxiv.org/abs/2302.09509,Sections 3--4 and Appendix B,"Accuracy and macro-F1 are reported; macro-F1 addresses tail classes, but no use-specific error costs are stated."
LoT-insts,coverage_frame,primary,yes,https://arxiv.org/abs/2302.09509,Sections 3--4 and Appendix B,"Source tables, cleaning, filtering, category sampling, and train/validation/test rules are documented."
LoT-insts,coverage_blueprint,primary,yes,https://arxiv.org/abs/2302.09509,Sections 3--4 and Appendix B,"The test design separates many-, medium-, few-, and zero-shot subsets."
LoT-insts,labels_process,primary,yes,https://arxiv.org/abs/2302.09509,Sections 3--4 and Appendix B,Institution IDs and normalized names are constructed from two source tables using explicit conflict and cleaning rules.
LoT-insts,labels_reliability,primary,partial,https://arxiv.org/abs/2302.09509,Sections 3--4 and Appendix B,"Repeated mappings are consolidated with a confidence vote, but no independent recoding reliability is reported."
LoT-insts,labels_validity,primary,partial,https://arxiv.org/abs/2302.09509,Sections 3--4 and Appendix B,"Ambiguous mappings are removed and errors filtered, but the final mappings are not validated on an independent gold sample."
LoT-insts,designed_cases,primary,yes,https://arxiv.org/abs/2302.09509,Sections 3--4 and Appendix B,The evaluation deliberately isolates frequency strata and an unseen-class open set.
LoT-insts,designed_pairs,primary,not_found,https://arxiv.org/abs/2302.09509,Sections 3--4 and Appendix B,The reviewed sources do not include controlled input pairs with a prespecified expected response.
