frame_order,benchmark_name,canonical_family,pwc_url,leaderboard_rows,archive_languages,frame_status,exclusion_reason,activity_stratum,draw_order,selected,selection_probability,sample_weight,source_snapshot
1,MVICTOR (type),,https://paperswithcode.com/sota/text-classification-on-mvictor-type,5,,excluded,English input language not verified by the linked archive record,,,no,,,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
2,TRAC2-English. Task2.,,https://paperswithcode.com/sota/text-classification-on-trac2-english-task2,1,,excluded,English input language not verified by the linked archive record,,,no,,,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
3,BLURB,,https://paperswithcode.com/sota/text-classification-on-blurb,3,English,excluded,mixed-task suite rather than a discrete text-classification family,,,no,,,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
4,Yelp-5,,https://paperswithcode.com/sota/text-classification-on-yelp-5,7,,excluded,English input language not verified by the linked archive record,,,no,,,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
5,GLUE QNLI,,https://paperswithcode.com/sota/text-classification-on-glue-qnli,0,English,excluded,no reported leaderboard result in the frozen snapshot,,,no,,,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
6,Climabench,ClimaBench,https://paperswithcode.com/sota/text-classification-on-climabench,8,English,eligible,,high,5,no,0.571429,1.750000,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
7,Sogou News,,https://paperswithcode.com/sota/text-classification-on-sogou-news,3,,excluded,English input language not verified by the linked archive record,,,no,,,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
8,Hyperpartisan,,https://paperswithcode.com/sota/text-classification-on-hyperpartisan-1,1,,excluded,English input language not verified by the linked archive record,,,no,,,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
9,Adverse Drug Events (ADE) Corpus,ADE Corpus,https://paperswithcode.com/sota/text-classification-on-adverse-drug-events,1,English,eligible,,low,3,yes,0.444444,2.250000,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
10,TREC-6,,https://paperswithcode.com/sota/text-classification-on-trec-6,19,,excluded,English input language not verified by the linked archive record,,,no,,,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
11,IMDb Movie Reviews,IMDB,https://paperswithcode.com/sota/text-classification-on-imdb-movie-reviews-1,3,English,eligible,,middle,3,yes,0.444444,2.250000,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
12,R52,,https://paperswithcode.com/sota/text-classification-on-r52,8,,excluded,English input language not verified by the linked archive record,,,no,,,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
13,NewsDiscourse,,https://paperswithcode.com/sota/text-classification-on-newsdiscourse,8,,excluded,English input language not verified by the linked archive record,,,no,,,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
14,dbpedia_14,,https://paperswithcode.com/sota/text-classification-on-dbpedia-14,0,English,excluded,no reported leaderboard result in the frozen snapshot,,,no,,,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
15,Social media attributions of YouTube comments,Social media attributions of YouTube comments,https://paperswithcode.com/sota/text-classification-on-social-media,2,English,eligible,,middle,8,no,0.444444,2.250000,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
16,DODF Data,,https://paperswithcode.com/sota/text-classification-on-dodf-data,5,,excluded,English input language not verified by the linked archive record,,,no,,,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
17,Ohsumed,Ohsumed,https://paperswithcode.com/sota/text-classification-on-ohsumed,10,English,eligible,,high,1,yes,0.571429,1.750000,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
